Nombre,Tipo,Precio,Temática,Autores,Tiempo de juego,Dificultad,Num. Jugadores,Idioma,Edad,URL,Descripción
Ikonikus,Juegos de Cartas,"12,95 €",Abstracto,Manu Palau,15 min,Fácil,"3, 4, 5, 6, 7, 8, +8",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/ikonikus.html,"Llega ya la 4ª edición del gran juego de emociones, Ikonikus, donde la empatía juega un papel fundamental en el desarrollo de las partidas. De hecho, los jugadores deben tratar de adivinar lo que sentiría el resto en diferentes situaciones."
UNDO 1 - Festival del cerezo en flor,Juegos de Cartas,"11,69 €",Detectivesca,"Lukas Zach, Michael Palm",45 - 90 min,Medio,"2, 3, 4, 5, 6",Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/undo-1-festival-del-cerezo-en-flor.html,"Okayama, Japón, marzo de 2000: Un hombre de unos 60 años yace sin vida en el suelo de su sala de estar. Junto a él una copa de vino rota y una foto de una mujer joven en silla de ruedas. El difunto lleva un traje azul a la antigua. No hay heridas visibles, pero tiene una cicatriz apenas perceptible sobre el ojo. En su chaqueta suena un teléfono con la melodía Moonlight Sonata y ramitas de flores de cerezo sobre la mesa...."
Legados: Sobres,Juegos de Cartas,"1,63 €",Temàtica NO identificada,Autors NO identificat/s,60,Medio,"2, 3, 4, 5",Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/legados-sobres.html,"Controla a tus personajes favoritos de Star Wars: Destiny y decide el destino de la galaxia!!! Se incluyen los dados, cartas y fichas necesarios para poder comenzar con tus partidas."
Hero Realms,Juegos de Cartas,"16,20 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/hero-realms.html,"Hero Realms es el deckbuilding de bolsillo, que te permite construir tu universo de fantasía de Epic, enfrentando de dos a cuatro héroes, y con toda la intensidad de las batallas especiales de Star Realms."
"Saboteur, ¡los enanos contraatacan!",Juegos de Cartas,"17,95 €",Temàtica NO identificada,Autors NO identificat/s,30,Dificultat NO identificada,"3, 4, 5, 6, 7, 8, +8",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/saboteur-los-enanos-contraatacan.html,"Se trata de la nueva edición del juego. Saboteur y Saboteur 2 en la misma caja. Más grande, mejor presentado y los 2 juegos en uno para que no te pierda nada y lo tengas al mejor precio."
Love Letter,Juegos de Cartas,"11,99 €",Medieval,Seiji Kanai,20 min,Medio,"2, 3, 4, 5, 6",Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/love-letter-2019.html,"¿Tu carta de amor podrá enamorar a la princesa y ganar su corazón? Utiliza a los personajes del castillo para llevar en secreto tu mensaje a la Princesa y ganar su afecto.Love Letter es un juego de riesgo, deducción y suerte, con reglas sencillas que crean interacciones dinámicas y divertidas entre los jugadores, que deberán intentar entregar su carta de amor en las manos de la Princesa mientras mantienen las cartas de otros jugadores alejadas.¿Podrás superar a tus amigos y ganarte la confianza de la noble princesa? Esta nueva edición del clásico juego incluye arte totalmente nuevo, fichas serigrafiadas y permite más jugadores en la partida."
PENDRAGON pequeño golpe,Juegos de Rol,"12,56 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/pendragon-peque-o-golpe.html,No hi ha descripció
SANGRE Y HONOR pequeño golpe,Juegos de Rol,"6,04 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/sangre-y-honor-peque-o-golpe.html,No hi ha descripció
Libro-Juego: Magica Tenebrae,Juegos de Rol,"18,95 €",Espada y Brujería,Autors NO identificat/s,Temps de joc NO identificat,Fácil,Num. Jugadors NO identificat,Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/libro-juego-magica-tenebrae.html,"Familia, amigos, conciencia, tu apacible vida... sabías que tendrías que renunciar a todo eso a cambio del poder de la magia prohibidaAlgo salió mal y desde ahora te ves obligado a obedecer los caprichos de un príncipe demonio. Tendrás que salir de tu guarida, evitar a los inquisidores que no pararán de darte caza y usar tus nuevos y poderosos hechizos para enfrentarte a múltiples peligros.¿Podrás saciar tu sed de poder y sobrevivir en tus aventuras? ¿Está tu alma irremediablemente corrompida y sentenciadao aún hay un camino de salvación para ti?"
VAMPIRO EDAD OSCURA DELUXE pequeño golpe,Juegos de Rol,"21,37 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/vampiro-edad-oscura-deluxe-peque-o-golpe.html,No hi ha descripció
